,audio_filepath,start,end,text,pronunciation
41,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,121.119,126.479,μια απάντηση θέλω ποιος σε εκβίασε να,mny apadisi thelo pios se ekviase na
42,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,123.439,128.28,σταματήσεις στο γάμο μας μαθο ελπίζω να,stamatisis sto ghamo maz matho elpizo na
43,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,126.479,132.08,έχεις σοβαρό λόγο που με φέρεις εδώ πέρα,eçis sovaro logho pu me feris etho pera
44,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,128.28,134.04,ά φη έχω να κοιμηθώ ει μέρες εν μπορώ,alfa tonos fi echo na cimitho i meres en boro
45,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,132.08,136.599,να κάνω το κορδο τζαί να στο κρατάω άλλο,na kano to kortho dze na sto kratao alo
46,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,134.04,137.4,κρυφό τόσες μέρες παιδεύομαι εν μιλάω,krifo tosez meres pethevome en milao
47,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,136.599,139.879,εν,en
48,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,137.4,143.0,μιλάω πες το ρε φίλε,milao pes to re file
49,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,139.879,145.239,τελείωνε σφ η μελίνα έσιει γκόμενο τζαί,telione sighmafi i melina esji ɡomeno dze
50,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,143.0,145.239,έχω,echo
51,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,145.56,151.28,αποδείξεις ήντα λες ρε φιε θες να πατούμε,apothiksis ida lez re fie thez na patume
52,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,149.4,153.12,για γυναίκα μου μιλάς πρόσεχε γιατί,ja jineka mu milas proseçe jati
53,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,151.28,156.07999999999998,είναι η δεύτερη φορά μηνά φίλε ηρέμησε,ine i thefteri fora mina file iremise
54,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,153.12,157.879,ηρέμησε κι άκουσέ με εγώ έβαλα τους δύο,iremise ci akuse me egho evala tuz thio
55,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,156.07999999999998,159.2,τύπους από το ρέ μηνο τους ξέρεις κι εσύ,tipus apo to re mino tus kseris ci esi
56,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,157.879,160.56,το μανώλη τζαί το γιώργη για να,to manoli dze to jorji jana
57,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,159.2,163.2,παρακολουθήσουν το αυτοκίνητο της,parakoluthisun do aftocinito tis
58,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,160.56,165.64,βασιλικής είσαι άρρωστος ρε φίλε άκουσέ,vasilicis ise arostoz re file akuse
59,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,163.2,167.4,με πρώτα εγώ έστησα το σκηνικό για να,me prota egho estisa to sciniko jana
60,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,165.64,168.92000000000002,φοβίσω τη βασιλική τζαί μετά δγε σα να,foviso ti vasilici dze meta thje sa na
61,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,167.4,170.599,στο πω εκείνοι εν ξέρανε πώς είναι,sto po ecini eŋ ɡzerane pos ine
62,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,168.92000000000002,173.239,εμφανισιακά τζαί γι αυτό την πέσαν στη,emfanisjaka dze ji afto tim besan sti
63,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,170.599,176.84,μελίνα το χειρότερο είναι,melina to çirotero ine
64,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,173.239,180.28,όμως την είδα να φιλιέται με ένα τύπο,omos tin itha na fiʎete me ena tipo
65,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,176.84,180.28,τράβα ερώτας,trava erotas
66,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,187.04,192.879,λέγε ποιοι σε εκβίασαν,leje pii se ekviasan
67,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,190.04,196.799,μίλα να έρθω στην κρήτη να τα πούμε από,mila na ertho stiŋ ɡriti na ta pume apo
68,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,192.879,196.799,κοντά καλύτερα δε χρειάζεται,koda kalitera the chrçazete
69,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,197.0,200.76,ακούω ποιο τζαί,akuo pio dze
70,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,201.84,207.64,γιατί ήντα εννοείς να δες πούμε τον,jati ida enoiz na thes pume ton
71,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,205.56,211.0,πραγματικό λόγο γιατί ακύρωσες το κμο,praghmatiko logho jati aciroses to kmo
72,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,207.64,214.959,τότε ποτέ με τίποτε,tote pote me tipote
73,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,211.0,214.959,αυτό έννα μείνει θαμμένο για πάντα απ,afto ena mini thameno ja pad ap
74,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,218.36,225.08,θέο μια αγγελία δικαιολογία ήταν τίποτα,theo mny aŋɡelia thiceolojia itan dipota
75,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,222.239,228.36,περισσότερο ξέχασέ το αναστασία ξέχασέ,perissotero ksechase to anastasia ksechase
76,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,225.08,232.12,το ήθελα να ξερα γιατί φοράς,to ithela na ksera jati foras
77,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,228.36,235.959,παντελόνια να πας στο διάολο μαθο ακούς,padelonya na pas sto thiaolo matho akus
78,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,232.12,239.76,στο διάολο ήντα έγινε αναστασία μου έννα σου,sto thiaolo ida ejine anastasia mu ena su
79,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,235.959,239.76,πει ο θείος αναστασία,pi o thios anastasia
80,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,240.76,245.959,ήντα έπαθε πάλι αυτή η διαμάντι,ida epathe pali afti i thiamadi
81,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,243.599,248.72,μου,mu
82,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,245.959,251.64,τίποτα της πέταξε μια βλακεία ο ματθαίος,tipota tis petakse mnya vlacia o mattheos
83,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,248.72,255.959,τζαί από κείνη τη στιγμή ψάχνεται,dze apo cini ti stighmi psachnete
84,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,251.64,255.959,ήντα κόλλημα έσιει πάθει μαζί,ida kolima esji pathi mazi
85,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,261.24,269.44,του ήντα σου συμβαίνει καλή,tu ida su simveni kali
86,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,264.88,272.84000000000003,μου έλα εν μπορώ έχουν σπάσει τα νεύρα,mu ela en boro echun spasi ta nevra
87,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,269.44,275.639,μου εν ξέρω μία το ένα μία το άλλο με,mu eŋ ɡzero mia to ena mia to alo me
88,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,272.84000000000003,278.28,τάραξε τζαί ο κομμωτής μου εν μπόρεσα να,tarakse dze o komotiz mu en boresa na
89,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,275.639,281.16,ξεφορτωθώ τζαί το σσεπέττος το χω μέσα σε,ksefortotho dze to ssepetos to cho mesa se
90,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,278.28,284.759,παρακαλώ κρύψε το κάπου να,parakalo kripse to kapu na
91,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,281.16,288.199,ησυχάσω ήντα σου συμβαίνει δάφνη την,isichaso ida su simveni thafni tin
92,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,284.759,288.199,αλήθεια θέλω,alithça thelo
93,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,305.36,309.0,σταμάτα να φτιάχνεις τις βαλίτσες σου,stamata na ftiachnis tiz valitses su
94,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,307.16,310.639,γιατί εγώ προσπαθώ να καταλάβω η,jati egho prospatho na katalavo ita
95,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,309.0,312.72,κρητικιά σου είπε πως εν θέλει να,kritica su ipe pos en theli na
96,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,310.639,315.759,ξαναβρεθείτε τζαί ότι περνάει μια χαρά με,ksanavrethite dze oti pernai mnya chara me
97,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,312.72,318.08,τον άντρα της εσύ γιατί πας κρήτη ρε,ton adra tis esi jati pas kriti re
98,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,315.759,319.88,γιατί εν την πιστεύω γιατί είμαι,jati en dim bistevo jati ime
99,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,318.08,322.52,σίγουρος ότι κάποιος την έβαλε επίτηδες,sighuros oti kapios tin evale epitithes
100,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,319.88,325.08,να μου τα πει άρα κάποιος τρίτος ξέρει,na mu ta pi ara kapios tritos kseri
101,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,322.52,330.08,αχιλέα πας γυρεύοντας τζαί κριτική εν,açilea paz jirevodas dze kritici en
102,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,325.08,332.28,ασεντα αδιαφορώ αδιαφορεί αδιαφορεί λέει,ased athiaforo athiafori athiafori lei
103,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,330.08,334.319,ιλία πάει της τελείωσε της γκόμενας ήντα,ilia pai tis teliose tiz ɡomenas ida
104,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,332.28,337.759,εν καταλαβαίνεις μην την ξαναπείς,eŋ ɡatalaveniz min diŋ ɡzanapis
105,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,334.319,340.4,γκόμενα ωραία της τελείωσε της μελίνας,ɡomena orea tis teliose tiz melinas
106,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,337.759,343.88,κάτι πήγε να ξεκινήσει αλλά εν,kati pije na ksecinisi ala en
107,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,340.4,346.44,γουστάρει αποκλείεται ρε συ,ghustari apokliete re si
108,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,343.88,347.759,νεκτάριε την τελευταία φορά που μίλησες,nektarie tin deleftea fora pu milises
109,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,346.44,349.52,στο τηλέφωνο μου είπε ότι γίνονται,sto tilefono mu ipe oti jinode
110,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,347.759,352.72,διάφορα τζιαμέ τζαί ότι είναι πιεσμένοι με,thiafora dziame dze oti ine pçesmeni me
111,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,349.52,355.8,θέλει σου λαλώ αλλά κάτι,theli su lalo ala kati
112,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,352.72,357.96,έγινε ωραία για χάρη μου σε παρακαλώ,ejine orea ja chari mu se parakalo
113,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,355.8,360.28,περίμενε να περάσουν ώρες μέχρι να,perimene na perasun orez mechri na
114,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,357.96,361.759,ξανα μιλήσετε κάποιος ποιος μπορεί να το,ksana milisete kapios pioz bori na to
115,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,360.28,363.96,μαθε στην κρήτη τζαί να γίνεται χαμός,mathe stiŋ ɡriti dze na jinete chamos
116,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,361.759,363.96,τζιαμέ,dziame
117,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,371.039,378.4,τώρα γύρισες αγάπη μου ξέχασες κάτι,tora jirises aghapi mu ksechases kati
118,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,375.0,380.24,αγάπη μου με λες κ αγάπη μου στάχτης τα,aghapi mu me les kap aghapi mu stachtis ta
119,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,378.4,382.16,μάτια όταν σου τ πέσανε οι τύποι στην,matia otan su taf pesane i tipi stin
120,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,380.24,385.36,ερημιά με ποιον ήσουνα με το κόμελ τζαί,erimia me pion isuna me to komel dze
121,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,382.16,388.16,φιλιώ ουνα ε ποιος είναι εν καταλαβαίνω,fiʎo una epsilon pios ine eŋ ɡatalaveno
122,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,385.36,390.479,ήντα λες άσεμε με πνίγεις ποιος είναι λαλώ,ida les aseme me pnijis pios ine lalo
123,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,388.16,393.08,έννα σε σκοτώσω εμένα δε έννα με κάνει,ena se skotoso emena the ena me kani
124,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,390.479,394.0,κανείς ρεζίλι στην κρήτη σίμου ήντα κάνεις,kaniz rezili stiŋ ɡriti simu ida kanis
125,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,393.08,397.919,τζιαμέ,dziame
126,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,394.0,401.8,τρελάθηκες έσιει άσε με άστε ε συ,trelathices esji ase me aste epsilon si
127,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,397.919,406.319,πήγε στώ είναι ψέματα ψέματος,pije sto ine psemata psematos
128,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,401.8,406.319,υφή πήγαινες να την πνίξεις το,ifi pijenez na tim bniksis to
129,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,410.84,416.52,καταλαβαίνεις έννα με αναγκάσεις να μιλήσω,katalavenis ena me anaŋɡasiz na miliso
130,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,413.4,418.199,στο ματθαίο λαόνουμαι για σένα περίμενε να,sto mattheo laonume ja sena perimene na
131,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,416.52,421.16,μάθουμε ήντα συμβαίνει στην κρήτη τζαί πας,mathume ida simveni stiŋ ɡriti dze pas
132,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,418.199,425.199,αύριο σε παρακαλώ,avrio se parakalo
133,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,421.16,427.72,ήντα φεύγεις πάλι πο πας όπου,ida fevjis pali po pas opu
134,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,425.199,429.479,γουστάρω αυτή τη στιγμή μιλάω με τον,ghustaro afti ti stighmi milao me ton
135,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,427.72,431.56,αδερφό μου αχιλλέα πας καλά τώρα,atherfo mu açilea pas kala tora
136,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,429.479,434.199,τελευταία ε μπήκε ο διάολος μέσα σου,teleftea epsilon bice o thiaoloz mesa su
137,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,431.56,436.28,μιλάω με τον αδερφό μου είπα εδώ είναι,milao me ton atherfo mu ipa etho ine
138,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,434.199,438.72,το δωμάτιό μου να πάτε χαμαί να μιλήσετε,to thomatio mu na pate chame na milisete
139,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,436.28,440.919,καλά σου λέει πάμε χαμαί να μιλήσουμε τζαί,kala su lei pame chame na milisume dze
140,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,438.72,443.12,φεύγεις μετά προέκυψαν κάτι δουλειές,fevjiz meta proecipsaŋ ɡati thuʎes
141,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,440.919,446.84,στην αθήνα φυσικά μπορεί να αναβληθούν όξα,stin athina fisika bori n anavlithun oksa
142,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,443.12,446.84,να πάω εγώ έννα δείξει,na pao egho ena thiksi
143,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,483.52,487.28,μη χειρότερα μα είναι λούκος αυτός να,mi çirotera ma ine lukos aftoz na
144,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,485.72,489.319,σπάσω τα νεύρα σου επειδή θέλεις να,spaso ta nevra su epithi theliz na
145,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,487.28,492.52,βάψεις μαύρα τα μαλλιά σου τζαί εν στα,vapsiz mavra ta maʎa su dze en sta
146,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,489.319,495.4,παψε ο κομμωτής ναι είναι για σένα έναι,papse o komotiz ne ine ja sena ene
147,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,492.52,499.159,ασήμαντο φυσικά είναι,asimado fisika ine
148,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,495.4,503.159,ασήμαντο αν σε έβλεπα με μαύρα μαλλιά έννα,asimado an se evlepa me mavra maʎa ena
149,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,499.159,506.159,πέφτανε τα δικά μου έλα τώρα εγώ έτσι σε,peftane ta thika mu ela tora egho etsi se
150,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,503.159,509.919,γνώρισα έτσι σε αγάπησα έτσι σε θέλω με,ghnorisa etsi se aghapisa etsi se thelo me
151,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,506.159,512.08,ρώτησες αν έννα ήθελα να είσαι μελαχρινή,rotises an ena ithela na ise melachrini
152,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,509.919,513.24,εγώ για σένα έννα το κανα για να φαίνομαι,egho ja sena ena to kana jana fenome
153,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,512.08,516.12,πιο,pço
154,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,513.24,518.599,σοβαρή έχεις ένα κύκλο νταραβέρια με,sovari eçis ena ciklo daraveria me
155,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,516.12,522.56,πολιτικούς τώρα αυτό το χρώμα είναι για,politikus tor afto to chroma ine ja
156,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,518.599,526.2,άλλου είδους γυναίκες δάφνη μην έχεις,alu ithuz jinecez thafni min eçis
157,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,522.56,531.04,λξ με βγάζεις ας ό πρόσωπο καμαρώνω που,lamthaksi me vghazis as omikrontonos prosopo kamarono pu
158,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,526.2,534.56,είσαι γυναίκα μου μην κοιτας που σε,ise jineka mu miŋ citas pu se
159,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,531.04,539.04,αλώνων το κάνω ήντα δηλαδή αμου πάρεις τον,alonon do kano ida thilathi amu paris ton
160,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,534.56,539.04,αέρα είσαι τζαί κολοπαστας,aera ise dze kolopastas
161,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,540.76,547.8,α η,alfa ita
162,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,542.92,550.32,μελίνα έλα μελίνα μου ο σήφης έμαθε πήγε,melina ela melina mu o sifis emathe pije
